,method_key,dataset_key,kernel,lmb,seed,time,status,checksum,bias_h1,bias_l2_h1,time2
0,"KB (energy, lmb0.0001)",News,energy,0.0001,0,1949.5259909629822,Done,2293.717403566159,0.33181742982474066,0.4441492698345636,1953.0228612422943
1,"KB (energy, lmb0.0001)",News,energy,0.0001,1,1417.6350028514862,Done,2732.08117885045,0.37311859902264966,0.47158623231539964,1420.8593974113464
2,"KB (energy, lmb0.0001)",News,energy,0.0001,2,1022.3739891052246,Done,2391.024532802661,0.16502913213098655,0.20795572327711456,1026.4495313167572
3,"KB (energy, lmb0.0001)",News,energy,0.0001,3,1361.4375982284546,Done,2408.330944730992,0.22037407845111462,0.31673991935517853,1365.3910021781921
4,"KB (energy, lmb0.0001)",News,energy,0.0001,4,1427.3874235153198,Done,2691.403927040199,0.45521595207937626,0.5814530901655975,1438.8070719242096
5,"KB (energy, lmb0.0001)",News,energy,0.0001,5,979.6974017620087,Done,2722.3457942040327,0.4824545818610961,0.6038756120730872,983.3653934001923
6,"KB (energy, lmb0.0001)",News,energy,0.0001,6,1875.0261898040771,Done,2416.1454963351457,0.19617875976081386,0.25097862676603006,1879.5160529613495
7,"KB (energy, lmb0.0001)",News,energy,0.0001,7,1524.3824796676636,Done,2276.0533576931844,0.23762216418294424,0.33168992258375996,1528.1697220802307
8,"KB (energy, lmb0.0001)",News,energy,0.0001,8,1067.406350851059,Done,2775.3698135247405,0.4131355810999801,0.49009961345647696,1070.3890480995178
9,"KB (energy, lmb0.0001)",News,energy,0.0001,9,1381.3262739181519,Done,2464.162421030651,0.11071936576502692,0.1411285931847008,1384.8564295768738
10,"KB (energy, lmb0.0001)",News,energy,0.0001,10,1880.4127852916718,Done,2442.6488519970976,0.4335137060247095,0.6201457870074266,1883.9290342330933
11,"KB (energy, lmb0.0001)",News,energy,0.0001,11,1157.0009157657623,Done,2152.57109317188,0.11908311795348393,0.15716528751054237,1167.046276807785
12,"KB (energy, lmb0.0001)",News,energy,0.0001,12,1314.4599437713623,Done,2804.5740444459097,0.4690520687546812,0.5713365249290616,1323.0033023357391
13,"KB (energy, lmb0.0001)",News,energy,0.0001,13,1478.642659187317,Done,2351.3787945701083,0.29085282592676426,0.3965191432731819,1483.7952435016632
14,"KB (energy, lmb0.0001)",News,energy,0.0001,14,1005.1492233276367,Done,2241.9775389577285,0.23532327001985578,0.2982621027387715,1008.6513061523438
15,"KB (energy, lmb0.0001)",News,energy,0.0001,15,1479.9860036373138,Done,2704.31846600419,0.5217835338885348,0.6887866552869376,1494.161563873291
