,method_key,dataset_key,seed,time,status,checksum,bias_h1,bias_l2_h1,time2
0,unweighted,IHDP,0,0.003912448883056641,Done,142.4127637621441,0.020276092616369503,0.02037127032938463,0.08462738990783691
1,unweighted,IHDP,1,0.004306793212890625,Done,144.2744751409479,0.02352304327974216,0.026362594004190693,0.0857548713684082
2,unweighted,IHDP,2,0.006035804748535156,Done,143.30014698614525,0.06962541984281889,0.07483498297898036,0.08965611457824707
3,unweighted,IHDP,3,0.0043299198150634766,Done,148.05671514302279,0.055056648522952355,0.05506317024576086,0.08641242980957031
4,unweighted,IHDP,4,0.00430750846862793,Done,147.03430989431564,0.04663782108114082,0.04944388100710098,0.08756494522094727
5,unweighted,IHDP,5,0.00413823127746582,Done,142.3269707961171,0.05653719382526331,0.05723247193304844,0.08500862121582031
6,unweighted,IHDP,6,0.004038810729980469,Done,141.50307116867637,0.05017103969287897,0.0591269723627634,0.07955384254455566
7,unweighted,IHDP,7,0.00395655632019043,Done,144.5201414126603,0.09864584180199633,0.09864651255870206,0.07856941223144531
8,unweighted,IHDP,8,0.0038182735443115234,Done,179.73967657235147,1.251834945972685,1.3631642988814943,0.07928276062011719
9,unweighted,IHDP,9,0.004324674606323242,Done,160.08712892274906,0.16237367072716458,0.162595816306768,0.08567500114440918
10,unweighted,IHDP,10,0.004128694534301758,Done,144.85279390828137,0.13052714980545704,0.1313855589822281,0.08522319793701172
11,unweighted,IHDP,11,0.004007577896118164,Done,149.11707855177784,0.0489973539333887,0.04903301098140452,0.08455467224121094
12,unweighted,IHDP,12,0.004186391830444336,Done,200.44003839974476,1.6788211919890834,1.8385555690670514,0.0786890983581543
13,unweighted,IHDP,13,0.003737211227416992,Done,142.46023963768073,0.05984496405379282,0.061102978459964694,0.0778341293334961
14,unweighted,IHDP,14,0.003867626190185547,Done,146.6165503364577,0.06408180658505613,0.09398342834436252,0.0768427848815918
15,unweighted,IHDP,15,0.004090070724487305,Done,144.35258209534268,0.16879569370564398,0.17108529462761862,0.07693099975585938
16,unweighted,IHDP,16,0.0039746761322021484,Done,150.64171640230225,0.08342343259485929,0.08345689960912338,0.0852975845336914
17,unweighted,IHDP,17,0.004775047302246094,Done,148.5714837992555,0.10067702569614495,0.10137974027408563,0.08480620384216309
18,unweighted,IHDP,18,0.0041925907135009766,Done,146.88477563005694,0.017320054419972742,0.018299938936963477,0.08615660667419434
19,unweighted,IHDP,19,0.004080533981323242,Done,143.1343577041847,0.05931477016507294,0.06048287978811685,0.08565139770507812
20,unweighted,IHDP,20,0.004593372344970703,Done,156.56869329278277,0.21024807362106895,0.21507353980431432,0.0811624526977539
21,unweighted,IHDP,21,0.0035734176635742188,Done,143.13287786730626,0.07150885139484207,0.07877492572086749,0.07092928886413574
22,unweighted,IHDP,22,0.0037078857421875,Done,146.77247535502394,0.09292169563649151,0.09728955872760078,0.0689849853515625
23,unweighted,IHDP,23,0.0038461685180664062,Done,150.66182240614378,0.07353298572458758,0.0756612535864334,0.06920385360717773
24,unweighted,IHDP,24,0.0034606456756591797,Done,145.44440599290692,0.19972169231889936,0.20064300730751297,0.0699777603149414
25,unweighted,IHDP,25,0.00400543212890625,Done,166.75684312117394,0.09402817032699401,0.10344407896165146,0.07593441009521484
26,unweighted,IHDP,26,0.003887176513671875,Done,145.24503734379815,0.006544844492111306,0.006613957696718777,0.07815194129943848
27,unweighted,IHDP,27,0.003827810287475586,Done,194.17737405452044,1.2306349212499132,1.3427898697518912,0.07779693603515625
28,unweighted,IHDP,28,0.0039920806884765625,Done,146.07824131014317,0.07115398694307754,0.07793384095825623,0.0762033462524414
29,unweighted,IHDP,29,0.0037126541137695312,Done,147.11265451345722,0.053611004659513496,0.061543914045255256,0.07832789421081543
30,unweighted,IHDP,30,0.003773927688598633,Done,146.62490904170733,0.08724886179628741,0.08730298872258328,0.07854199409484863
31,unweighted,IHDP,31,0.003858327865600586,Done,144.1253431830959,0.012537698371740081,0.01628308988858723,0.07838916778564453
32,unweighted,IHDP,32,0.0035881996154785156,Done,146.40506672244874,0.09181224944312454,0.09868254874774991,0.07599329948425293
33,unweighted,IHDP,33,0.003964900970458984,Done,194.19547542436928,0.5420296612931375,0.5679956035926993,0.07769608497619629
34,unweighted,IHDP,34,0.0035169124603271484,Done,154.41258133357348,0.09279355376916308,0.10340014659157871,0.06975007057189941
35,unweighted,IHDP,35,0.003621339797973633,Done,156.57851461895223,0.2154607283508554,0.2204057883650339,0.06985116004943848
36,unweighted,IHDP,36,0.003596067428588867,Done,164.5212556249688,0.10112311898673905,0.1060928464674601,0.07005953788757324
37,unweighted,IHDP,37,0.0034952163696289062,Done,145.94358361422923,0.0327556187464188,0.047637674086363234,0.07242774963378906
38,unweighted,IHDP,38,0.003640890121459961,Done,163.0812857886572,0.43964130498060205,0.47050409907667495,0.06939101219177246
39,unweighted,IHDP,39,0.0037240982055664062,Done,147.1249075509406,0.07569344478929779,0.07639553027360235,0.07164597511291504
40,unweighted,IHDP,40,0.0034999847412109375,Done,143.39321262298452,0.09018127735890005,0.09149699097480707,0.06960248947143555
41,unweighted,IHDP,41,0.0036308765411376953,Done,142.4229845323709,0.030654421228452352,0.031894989175796425,0.07144689559936523
42,unweighted,IHDP,42,0.003476381301879883,Done,145.0579059331701,0.12759923046904154,0.1296933108800783,0.07539701461791992
43,unweighted,IHDP,43,0.0036275386810302734,Done,150.9356465792247,0.0799885449438662,0.08830065915781134,0.07773160934448242
44,unweighted,IHDP,44,0.0039033889770507812,Done,153.17795629997516,0.12591803437205987,0.13864682793784686,0.07613539695739746
