,method_key,dataset_key,algorithm,model,seed,time,status,checksum,bias_h1,bias_l2_h1,time2
0,"IPW ('propensity', 'GradientBoostingClassifier')",IHDP,propensity,GradientBoostingClassifier,0,0.6206915378570557,Done,142.4127637621441,0.015891811107915384,0.01682269448276141,0.6787018775939941
1,"IPW ('propensity', 'GradientBoostingClassifier')",IHDP,propensity,GradientBoostingClassifier,1,0.1557457447052002,Done,144.2744751409479,0.05027331290661579,0.05034553407648065,0.21558427810668945
2,"IPW ('propensity', 'GradientBoostingClassifier')",IHDP,propensity,GradientBoostingClassifier,2,0.2799370288848877,Done,143.30014698614525,0.04302521164300231,0.045027416155296894,0.33678770065307617
3,"IPW ('propensity', 'GradientBoostingClassifier')",IHDP,propensity,GradientBoostingClassifier,3,0.16947269439697266,Done,148.05671514302279,0.005959591052117333,0.006210657553413354,0.22810029983520508
4,"IPW ('propensity', 'GradientBoostingClassifier')",IHDP,propensity,GradientBoostingClassifier,4,0.22988319396972656,Done,147.03430989431564,0.05083309983878783,0.052358471065624405,0.28744959831237793
5,"IPW ('propensity', 'GradientBoostingClassifier')",IHDP,propensity,GradientBoostingClassifier,5,0.14795303344726562,Done,142.3269707961171,0.03869325256160635,0.03925756861735725,0.20773720741271973
6,"IPW ('propensity', 'GradientBoostingClassifier')",IHDP,propensity,GradientBoostingClassifier,6,0.18034052848815918,Done,141.50307116867637,0.05113152249885826,0.06683802551403004,0.24047636985778809
7,"IPW ('propensity', 'GradientBoostingClassifier')",IHDP,propensity,GradientBoostingClassifier,7,0.14714360237121582,Done,144.5201414126603,0.060025693139676616,0.06002690327346401,0.20596814155578613
8,"IPW ('propensity', 'GradientBoostingClassifier')",IHDP,propensity,GradientBoostingClassifier,8,0.17412519454956055,Done,179.73967657235147,0.710041048485789,0.7859572241423441,0.23115968704223633
9,"IPW ('propensity', 'GradientBoostingClassifier')",IHDP,propensity,GradientBoostingClassifier,9,0.15820598602294922,Done,160.08712892274906,0.0714574768629829,0.0910444877041679,0.21783900260925293
10,"IPW ('propensity', 'GradientBoostingClassifier')",IHDP,propensity,GradientBoostingClassifier,10,0.14839458465576172,Done,144.85279390828137,0.1290986309347447,0.1296539709698838,0.20909786224365234
11,"IPW ('propensity', 'GradientBoostingClassifier')",IHDP,propensity,GradientBoostingClassifier,11,0.14594531059265137,Done,149.11707855177784,0.0328184337379739,0.03518186356159709,0.20637297630310059
12,"IPW ('propensity', 'GradientBoostingClassifier')",IHDP,propensity,GradientBoostingClassifier,12,0.15218400955200195,Done,200.44003839974476,0.8258294088466365,0.9135524957004211,0.21246743202209473
13,"IPW ('propensity', 'GradientBoostingClassifier')",IHDP,propensity,GradientBoostingClassifier,13,0.172987699508667,Done,142.46023963768073,0.028198425505182933,0.030984573018327428,0.2334275245666504
14,"IPW ('propensity', 'GradientBoostingClassifier')",IHDP,propensity,GradientBoostingClassifier,14,0.14882230758666992,Done,146.6165503364577,0.07057041703739443,0.0936140771025152,0.2091965675354004
15,"IPW ('propensity', 'GradientBoostingClassifier')",IHDP,propensity,GradientBoostingClassifier,15,0.15697860717773438,Done,144.35258209534268,0.10296946550348515,0.11178234519479653,0.21718263626098633
16,"IPW ('propensity', 'GradientBoostingClassifier')",IHDP,propensity,GradientBoostingClassifier,16,0.147813081741333,Done,150.64171640230225,0.09174875294579832,0.10254490441684477,0.20854640007019043
17,"IPW ('propensity', 'GradientBoostingClassifier')",IHDP,propensity,GradientBoostingClassifier,17,0.15692758560180664,Done,148.5714837992555,0.08140613099099954,0.08141586316917483,0.21770715713500977
18,"IPW ('propensity', 'GradientBoostingClassifier')",IHDP,propensity,GradientBoostingClassifier,18,0.16010260581970215,Done,146.88477563005694,0.008515645901124875,0.009774032560492219,0.22060060501098633
19,"IPW ('propensity', 'GradientBoostingClassifier')",IHDP,propensity,GradientBoostingClassifier,19,0.15550661087036133,Done,143.1343577041847,0.014934049165628719,0.01621735141242831,0.21486639976501465
20,"IPW ('propensity', 'GradientBoostingClassifier')",IHDP,propensity,GradientBoostingClassifier,20,0.18164420127868652,Done,156.56869329278277,0.14370326507908504,0.14379315636695447,0.24073290824890137
21,"IPW ('propensity', 'GradientBoostingClassifier')",IHDP,propensity,GradientBoostingClassifier,21,0.15442991256713867,Done,143.13287786730626,0.0878584522342506,0.08949447099786546,0.21304869651794434
22,"IPW ('propensity', 'GradientBoostingClassifier')",IHDP,propensity,GradientBoostingClassifier,22,0.15169715881347656,Done,146.77247535502394,0.04379891678402555,0.046109603290722515,0.21114134788513184
23,"IPW ('propensity', 'GradientBoostingClassifier')",IHDP,propensity,GradientBoostingClassifier,23,0.1768782138824463,Done,150.66182240614378,0.07501025316147468,0.07502004745768275,0.23688864707946777
24,"IPW ('propensity', 'GradientBoostingClassifier')",IHDP,propensity,GradientBoostingClassifier,24,0.14645981788635254,Done,145.44440599290692,0.12134766249786992,0.12911978883192377,0.2056114673614502
25,"IPW ('propensity', 'GradientBoostingClassifier')",IHDP,propensity,GradientBoostingClassifier,25,0.21137666702270508,Done,166.75684312117394,0.04995640911347002,0.05337263974576565,0.271451473236084
26,"IPW ('propensity', 'GradientBoostingClassifier')",IHDP,propensity,GradientBoostingClassifier,26,0.15532588958740234,Done,145.24503734379815,0.031374119332441074,0.0317522051639241,0.2154240608215332
27,"IPW ('propensity', 'GradientBoostingClassifier')",IHDP,propensity,GradientBoostingClassifier,27,0.15619254112243652,Done,194.17737405452044,0.42267711857463175,0.4614417018411509,0.21562576293945312
