,method_key,dataset_key,seed,time1,mse,disoverlap,status,checksum,bias_h1,bias_l2_h1,time2
0,EntB,News,0,4119.712145090103,,,Done,2293.717403566159,0.14544996637219887,0.16718149609095959,4123.040947198868
1,EntB,News,1,3954.1922121047974,,,Done,2732.08117885045,0.19850131142086658,0.2420807394946292,3958.0104162693024
2,EntB,News,2,3958.981938123703,,,Done,2391.024532802661,0.0870980027013394,0.10961359883221768,3962.7287123203278
3,EntB,News,3,3942.7033557891846,,,Done,2408.330944730992,0.11051668474129306,0.15460348593522746,3946.3499529361725
4,EntB,News,4,3950.045812368393,,,Done,2691.403927040199,0.26188310041135127,0.33178861538167514,3953.5471489429474
5,EntB,News,5,4005.321758031845,,,Done,2722.3457942040327,0.28810171894973957,0.3584242143510387,4008.7594623565674
6,EntB,News,6,3973.6890337467194,,,Done,2416.1454963351457,0.09800992868079143,0.11432739242802552,3977.1432888507843
7,EntB,News,7,4052.9328644275665,,,Done,2276.0533576931844,0.12904451404651882,0.18228992895679344,4056.388085126877
8,EntB,News,8,4005.079009771347,,,Done,2775.3698135247405,0.23502727597339482,0.26647496039686197,4008.731296300888
9,EntB,News,9,4086.504088163376,,,Done,2464.162421030651,0.06729610323166656,0.07800808249632504,4090.1152353286743
10,EntB,News,10,4119.921447753906,,,Done,2442.6488519970976,0.2594975867361805,0.36396152131167864,4123.358200073242
11,EntB,News,11,3765.760760784149,,,Done,2152.57109317188,0.08920170135757798,0.10908583590235685,3768.8335299491882
12,EntB,News,12,3488.173099040985,,,Done,2804.5740444459097,0.2358262332551205,0.2748510206977275,3491.553897380829
13,EntB,News,13,3532.2216708660126,,,Done,2351.3787945701083,0.14293492937291477,0.18920434187928534,3535.625699520111
14,EntB,News,14,3537.161158800125,,,Done,2241.9775389577285,0.13279410553357945,0.15349571465841505,3540.129007577896
15,EntB,News,15,3174.048887729645,,,Done,2704.31846600419,0.2893899609670975,0.3744353498877129,3177.359483242035
16,EntB,News,16,3341.229653120041,,,Done,2154.7405816545784,0.3762034494078554,0.5604454579082844,3344.1142706871033
17,EntB,News,17,2815.5181169509888,,,Done,2389.4638909734203,0.1273357461706538,0.15027592128339542,2818.3916370868683
18,EntB,News,18,2843.3774466514587,,,Done,2555.573369061002,0.08500153696037423,0.11807402621793964,2846.2479915618896
19,EntB,News,19,2792.9953122138977,,,Done,2316.276231747563,0.16379613303810275,0.23836513697687814,2795.737637758255
20,EntB,News,20,2959.003216266632,,,Done,2275.4514774018126,0.2684390864598873,0.3720327522964121,2962.1961488723755
21,EntB,News,21,3035.45876789093,,,Done,2413.212128111431,0.08839478532602466,0.1149082552678141,3038.324556350708
22,EntB,News,22,3169.385239124298,,,Done,2321.2664295194695,0.12470337803386965,0.17594727876222274,3172.627641439438
23,EntB,News,23,3211.3713386058807,,,Done,2116.3856041455274,0.06431742913661442,0.07913863022076473,3214.7276263237
24,EntB,News,24,3294.403806447983,,,Done,2584.6960668298016,0.18131160515446532,0.2390968591871223,3297.802855491638
25,EntB,News,25,3414.569900035858,,,Done,2346.0810046420206,0.16015517170745242,0.20587370090749135,3417.9709968566895
26,EntB,News,26,3461.8645384311676,,,Done,2231.8718000033364,0.12365955265694517,0.17666939570356316,3465.301929473877
27,EntB,News,27,3296.564540863037,,,Done,2627.356147197176,0.27709522872795495,0.3603242323357395,3299.4669156074524
28,EntB,News,28,3519.7036230564117,,,Done,2284.7952141870496,0.10863704698939959,0.14531749376816544,3523.1066043376923
29,EntB,News,29,3056.8523082733154,,,Done,2722.409197221916,0.22241053324811383,0.25049122534218793,3059.597452878952
30,EntB,News,30,2875.1453082561493,,,Done,2541.5948350051535,0.15961078345746535,0.22251516545409442,2878.0523998737335
31,EntB,News,31,2883.052394390106,,,Done,2303.999192762076,0.11531215527796483,0.13981051530552652,2885.9462099075317
32,EntB,News,32,2820.7027010917664,,,Done,2188.484182433942,0.06145791688883169,0.07420252115139181,2823.447913646698
33,EntB,News,33,2934.024518728256,,,Done,2442.440363820503,0.1652474694946065,0.2067311576679516,2936.9502925872803
34,EntB,News,34,2911.0846939086914,,,Done,2673.0442707105162,0.2214596027757013,0.29625866842710474,2913.827163696289
35,EntB,News,35,3502.5989937782288,,,Done,2479.228483548582,0.06882669588812186,0.07259300492267,3507.7687242031097
36,EntB,News,36,4128.901122093201,,,Done,2624.686854190929,0.12686780214224977,0.1562563656888046,4132.35092830658
37,EntB,News,37,3561.5464084148407,,,Done,2353.142109049695,0.09881584802060209,0.11981243251522795,3564.888904094696
38,EntB,News,38,3083.2770137786865,,,Done,2385.4320072638375,0.10920183987320142,0.13718286970252716,3086.2853977680206
39,EntB,News,39,2978.333029270172,,,Done,2472.4219150802496,0.12718757569738112,0.15342290975542472,2981.186348438263
40,EntB,News,40,2952.505751848221,,,Done,2676.94635902079,0.15714203519576977,0.19133185145157033,2955.6419694423676
41,EntB,News,41,3393.343595266342,,,Done,2304.4088932391655,0.23572364283792877,0.34603948075240426,3396.8772304058075
42,EntB,News,42,3030.62672829628,,,Done,2407.115908490637,0.09332367888118466,0.11824453143632367,3033.2678575515747
43,EntB,News,43,2907.954167842865,,,Done,2419.100667378188,0.0933318354905668,0.11535495140546445,2910.7502479553223
44,EntB,News,44,2924.9217026233673,,,Done,2631.8681283664655,0.15415254206756182,0.17630945988021487,2927.897901535034
45,EntB,News,45,3315.5792887210846,,,Done,2541.426132637696,0.10538437882289722,0.13353924250259253,3318.692916870117
46,EntB,News,46,3081.091063976288,,,Done,2721.3165123300023,0.2712828727693154,0.3208087164999911,3083.910135984421
