,method_key,dataset_key,algorithm,model,seed,time,status,checksum,bias_h1,bias_l2_h1,time2
0,"IPW ('propensity', 'GradientBoostingClassifier')",News,propensity,GradientBoostingClassifier,0,63.16226577758789,Done,2293.717403566159,0.1674553667368744,0.20548179485057744,68.94890570640564
1,"IPW ('propensity', 'GradientBoostingClassifier')",News,propensity,GradientBoostingClassifier,1,56.84439730644226,Done,2732.08117885045,0.3188985942614123,0.4002200038736262,62.71251964569092
2,"IPW ('propensity', 'GradientBoostingClassifier')",News,propensity,GradientBoostingClassifier,2,55.62076544761658,Done,2391.024532802661,0.12783282495514955,0.1586028336043039,60.98882031440735
3,"IPW ('propensity', 'GradientBoostingClassifier')",News,propensity,GradientBoostingClassifier,3,58.11783027648926,Done,2408.330944730992,0.1561781714232108,0.224954877734248,62.55136251449585
4,"IPW ('propensity', 'GradientBoostingClassifier')",News,propensity,GradientBoostingClassifier,4,57.617371797561646,Done,2691.403927040199,0.3646020718159726,0.46554273804038193,62.53817868232727
5,"IPW ('propensity', 'GradientBoostingClassifier')",News,propensity,GradientBoostingClassifier,5,57.84139060974121,Done,2722.3457942040327,0.42275045330775146,0.5265265871467032,62.23329257965088
6,"IPW ('propensity', 'GradientBoostingClassifier')",News,propensity,GradientBoostingClassifier,6,56.64544749259949,Done,2416.1454963351457,0.13427950503235356,0.16299194126607902,61.90758228302002
7,"IPW ('propensity', 'GradientBoostingClassifier')",News,propensity,GradientBoostingClassifier,7,57.73910427093506,Done,2276.0533576931844,0.15990861734750683,0.21775151288356495,63.62440776824951
8,"IPW ('propensity', 'GradientBoostingClassifier')",News,propensity,GradientBoostingClassifier,8,61.13484239578247,Done,2775.3698135247405,0.3334517832607895,0.38570855645441243,65.30068898200989
9,"IPW ('propensity', 'GradientBoostingClassifier')",News,propensity,GradientBoostingClassifier,9,65.23100781440735,Done,2464.162421030651,0.10038248638412095,0.12615851654543903,69.83167672157288
10,"IPW ('propensity', 'GradientBoostingClassifier')",News,propensity,GradientBoostingClassifier,10,61.501389265060425,Done,2442.6488519970976,0.3201655693691459,0.4580736617871276,66.19051241874695
11,"IPW ('propensity', 'GradientBoostingClassifier')",News,propensity,GradientBoostingClassifier,11,60.54847168922424,Done,2152.57109317188,0.07108564659391754,0.07986427662506258,65.21753311157227
12,"IPW ('propensity', 'GradientBoostingClassifier')",News,propensity,GradientBoostingClassifier,12,61.387054443359375,Done,2804.5740444459097,0.36668343403509895,0.4399470843744747,67.92302584648132
13,"IPW ('propensity', 'GradientBoostingClassifier')",News,propensity,GradientBoostingClassifier,13,62.43279480934143,Done,2351.3787945701083,0.20276322948432535,0.26942191552748457,67.57518696784973
14,"IPW ('propensity', 'GradientBoostingClassifier')",News,propensity,GradientBoostingClassifier,14,67.97210621833801,Done,2241.9775389577285,0.1781621659718046,0.21620815375822383,72.34698104858398
15,"IPW ('propensity', 'GradientBoostingClassifier')",News,propensity,GradientBoostingClassifier,15,67.09474229812622,Done,2704.31846600419,0.3912223767700203,0.5162946262349809,71.3090147972107
16,"IPW ('propensity', 'GradientBoostingClassifier')",News,propensity,GradientBoostingClassifier,16,60.55087351799011,Done,2154.7405816545784,0.2701689632020093,0.38850693783432055,65.31265568733215
17,"IPW ('propensity', 'GradientBoostingClassifier')",News,propensity,GradientBoostingClassifier,17,62.48713517189026,Done,2389.4638909734203,0.185953029796593,0.23148218525696326,67.52626895904541
18,"IPW ('propensity', 'GradientBoostingClassifier')",News,propensity,GradientBoostingClassifier,18,63.306002140045166,Done,2555.573369061002,0.1269265349737626,0.1754776864030187,68.93523931503296
19,"IPW ('propensity', 'GradientBoostingClassifier')",News,propensity,GradientBoostingClassifier,19,64.94964718818665,Done,2316.276231747563,0.22921159724413842,0.30266180492305794,69.27252721786499
20,"IPW ('propensity', 'GradientBoostingClassifier')",News,propensity,GradientBoostingClassifier,20,65.15490126609802,Done,2275.4514774018126,0.273155649213635,0.3707634349761015,68.64302039146423
21,"IPW ('propensity', 'GradientBoostingClassifier')",News,propensity,GradientBoostingClassifier,21,63.989768505096436,Done,2413.212128111431,0.1399995522221433,0.17607276705309763,68.55915188789368
22,"IPW ('propensity', 'GradientBoostingClassifier')",News,propensity,GradientBoostingClassifier,22,64.63032460212708,Done,2321.2664295194695,0.13696383123850128,0.197963448973034,70.01776623725891
23,"IPW ('propensity', 'GradientBoostingClassifier')",News,propensity,GradientBoostingClassifier,23,61.99228000640869,Done,2116.3856041455274,0.07177766105432692,0.08862231213459285,66.1550943851471
24,"IPW ('propensity', 'GradientBoostingClassifier')",News,propensity,GradientBoostingClassifier,24,59.589271783828735,Done,2584.6960668298016,0.26494877183979215,0.34816702785566317,64.9512140750885
25,"IPW ('propensity', 'GradientBoostingClassifier')",News,propensity,GradientBoostingClassifier,25,69.80357241630554,Done,2346.0810046420206,0.19028782281187206,0.2441436444236572,73.68620133399963
26,"IPW ('propensity', 'GradientBoostingClassifier')",News,propensity,GradientBoostingClassifier,26,62.40092921257019,Done,2231.8718000033364,0.11476080807549797,0.16505618253142804,66.30481600761414
27,"IPW ('propensity', 'GradientBoostingClassifier')",News,propensity,GradientBoostingClassifier,27,63.12954664230347,Done,2627.356147197176,0.3732797943358519,0.4975558452913045,67.45823812484741
28,"IPW ('propensity', 'GradientBoostingClassifier')",News,propensity,GradientBoostingClassifier,28,61.84196352958679,Done,2284.7952141870496,0.1299280060547884,0.17194394595696239,65.07011365890503
29,"IPW ('propensity', 'GradientBoostingClassifier')",News,propensity,GradientBoostingClassifier,29,65.40033912658691,Done,2722.409197221916,0.3954542293270473,0.4751102193989836,72.3701159954071
30,"IPW ('propensity', 'GradientBoostingClassifier')",News,propensity,GradientBoostingClassifier,30,64.7237274646759,Done,2541.5948350051535,0.2233031336140538,0.30830432649209794,68.67094326019287
31,"IPW ('propensity', 'GradientBoostingClassifier')",News,propensity,GradientBoostingClassifier,31,62.486653327941895,Done,2303.999192762076,0.1509561459641856,0.19536509452590028,66.4552972316742
32,"IPW ('propensity', 'GradientBoostingClassifier')",News,propensity,GradientBoostingClassifier,32,62.16753125190735,Done,2188.484182433942,0.054118068466724456,0.07679823298203119,66.77917528152466
33,"IPW ('propensity', 'GradientBoostingClassifier')",News,propensity,GradientBoostingClassifier,33,62.65096688270569,Done,2442.440363820503,0.20980147452641212,0.2656856815067396,68.35243082046509
34,"IPW ('propensity', 'GradientBoostingClassifier')",News,propensity,GradientBoostingClassifier,34,68.7387626171112,Done,2673.0442707105162,0.2805806213507211,0.3749953416250601,72.7721860408783
35,"IPW ('propensity', 'GradientBoostingClassifier')",News,propensity,GradientBoostingClassifier,35,63.58255124092102,Done,2479.228483548582,0.108909621253591,0.11936460079927892,67.59453535079956
36,"IPW ('propensity', 'GradientBoostingClassifier')",News,propensity,GradientBoostingClassifier,36,61.41891360282898,Done,2624.686854190929,0.18872231894829303,0.23401839688530165,66.73953533172607
37,"IPW ('propensity', 'GradientBoostingClassifier')",News,propensity,GradientBoostingClassifier,37,58.55373215675354,Done,2353.142109049695,0.15681877174441392,0.1993450274656923,64.81398582458496
38,"IPW ('propensity', 'GradientBoostingClassifier')",News,propensity,GradientBoostingClassifier,38,60.30250883102417,Done,2385.4320072638375,0.18523078564860176,0.24812927100729282,65.75818037986755
39,"IPW ('propensity', 'GradientBoostingClassifier')",News,propensity,GradientBoostingClassifier,39,61.68376612663269,Done,2472.4219150802496,0.1659612693434297,0.2046195665845925,65.57214426994324
40,"IPW ('propensity', 'GradientBoostingClassifier')",News,propensity,GradientBoostingClassifier,40,61.0403208732605,Done,2676.94635902079,0.19749814159347087,0.25437660837708786,65.51851916313171
41,"IPW ('propensity', 'GradientBoostingClassifier')",News,propensity,GradientBoostingClassifier,41,59.97335910797119,Done,2304.4088932391655,0.24611924726401113,0.33810765621567784,66.66347193717957
42,"IPW ('propensity', 'GradientBoostingClassifier')",News,propensity,GradientBoostingClassifier,42,58.331801891326904,Done,2407.115908490637,0.1447225449571789,0.18503336971257123,63.37037944793701
43,"IPW ('propensity', 'GradientBoostingClassifier')",News,propensity,GradientBoostingClassifier,43,61.55199456214905,Done,2419.100667378188,0.12504371549553156,0.16061163417226207,66.51774096488953
44,"IPW ('propensity', 'GradientBoostingClassifier')",News,propensity,GradientBoostingClassifier,44,59.995664834976196,Done,2631.8681283664655,0.3013068358029545,0.3621366189852474,64.39494180679321
45,"IPW ('propensity', 'GradientBoostingClassifier')",News,propensity,GradientBoostingClassifier,45,58.92445111274719,Done,2541.426132637696,0.14748014356717395,0.19237557214660858,64.7850022315979
46,"IPW ('propensity', 'GradientBoostingClassifier')",News,propensity,GradientBoostingClassifier,46,65.65767049789429,Done,2721.3165123300023,0.37296263991106854,0.4515497984470721,69.9505136013031
47,"IPW ('propensity', 'GradientBoostingClassifier')",News,propensity,GradientBoostingClassifier,47,58.54511332511902,Done,2285.130325806811,0.35848317638947125,0.4886263449467826,62.69770121574402
48,"IPW ('propensity', 'GradientBoostingClassifier')",News,propensity,GradientBoostingClassifier,48,59.54588961601257,Done,2342.9321401228985,0.12708111235376407,0.1424807406246593,64.09458255767822
49,"IPW ('propensity', 'GradientBoostingClassifier')",News,propensity,GradientBoostingClassifier,49,57.163339614868164,Done,2173.4068130343876,0.3290340781965272,0.4898209514343964,62.56981563568115
