,method_key,dataset_key,model,balancing_x_dim,batch_size,early_stopping,init_lr,layer_dims_balancing_x,layer_dims_output,weight_decay,seed,time,status,checksum,bias_h1,bias_l2_h1,time2
37,AutoDML head (k10 neural_different_outputs 10 100000 True 0.01 [200] [200] 0),News,neural_different_outputs,10,100000,True,0.01,[200],[200],0,37,19.105870008468628,Done,2353.142109049695,0.14760592863994002,0.18662913452597518,27.027153730392456
38,AutoDML head (k10 neural_different_outputs 10 100000 True 0.01 [200] [200] 0),News,neural_different_outputs,10,100000,True,0.01,[200],[200],0,38,12.898211479187012,Done,2385.4320072638375,0.6752020551363649,0.6758446091417947,22.528329849243164
39,AutoDML head (k10 neural_different_outputs 10 100000 True 0.01 [200] [200] 0),News,neural_different_outputs,10,100000,True,0.01,[200],[200],0,39,12.920562028884888,Done,2472.4219150802496,0.6891235240650518,0.7859258943403723,21.554571628570557
40,AutoDML head (k10 neural_different_outputs 10 100000 True 0.01 [200] [200] 0),News,neural_different_outputs,10,100000,True,0.01,[200],[200],0,40,12.826926946640015,Done,2676.94635902079,0.13237507318442396,0.14506947760231845,20.492387056350708
41,AutoDML head (k10 neural_different_outputs 10 100000 True 0.01 [200] [200] 0),News,neural_different_outputs,10,100000,True,0.01,[200],[200],0,41,16.229207754135132,Done,2304.4088932391655,0.1587106793541907,0.2320818511232542,22.57596516609192
42,AutoDML head (k10 neural_different_outputs 10 100000 True 0.01 [200] [200] 0),News,neural_different_outputs,10,100000,True,0.01,[200],[200],0,42,21.22696852684021,Done,2407.115908490637,0.07125563319982431,0.07329011890159468,31.581414937973022
43,AutoDML head (k10 neural_different_outputs 10 100000 True 0.01 [200] [200] 0),News,neural_different_outputs,10,100000,True,0.01,[200],[200],0,43,11.082023620605469,Done,2419.100667378188,0.17737502046033138,0.23366367502545807,16.629544973373413
44,AutoDML head (k10 neural_different_outputs 10 100000 True 0.01 [200] [200] 0),News,neural_different_outputs,10,100000,True,0.01,[200],[200],0,44,8.561873197555542,Done,2631.8681283664655,0.34578592390138113,0.42209191111023,14.948791980743408
45,AutoDML head (k10 neural_different_outputs 10 100000 True 0.01 [200] [200] 0),News,neural_different_outputs,10,100000,True,0.01,[200],[200],0,45,14.444404602050781,Done,2541.426132637696,0.03312617641507217,0.04583120492652915,23.428861141204834
46,AutoDML head (k10 neural_different_outputs 10 100000 True 0.01 [200] [200] 0),News,neural_different_outputs,10,100000,True,0.01,[200],[200],0,46,12.361126899719238,Done,2721.3165123300023,0.15346189543204883,0.15929276832953387,17.130555868148804
47,AutoDML head (k10 neural_different_outputs 10 100000 True 0.01 [200] [200] 0),News,neural_different_outputs,10,100000,True,0.01,[200],[200],0,47,20.397149085998535,Done,2285.130325806811,0.36683288648224677,0.5376082651067842,28.048527002334595
48,AutoDML head (k10 neural_different_outputs 10 100000 True 0.01 [200] [200] 0),News,neural_different_outputs,10,100000,True,0.01,[200],[200],0,48,11.686377048492432,Done,2342.9321401228985,0.12561042075194095,0.1538496187040387,15.787426471710205
49,AutoDML head (k10 neural_different_outputs 10 100000 True 0.01 [200] [200] 0),News,neural_different_outputs,10,100000,True,0.01,[200],[200],0,49,19.45522165298462,Done,2173.4068130343876,2.335903682234711,2.4522303862789014,28.31787419319153
