,method_key,dataset_key,seed,time,status,checksum,bias_h1,bias_l2_h1,time2
0,EntB,IHDP,0,0.14169836044311523,Done,142.4127637621441,0.0053649046792675886,0.012104189984696177,0.32420921325683594
1,EntB,IHDP,1,0.3007700443267822,Done,144.2744751409479,0.05418844811572026,0.05601158915566337,0.48575901985168457
2,EntB,IHDP,2,0.13461589813232422,Done,143.30014698614525,0.03932895173104086,0.03964501965858334,0.2838015556335449
3,EntB,IHDP,3,0.07442736625671387,Done,148.05671514302279,0.04308233406592188,0.07913444548900371,0.22192955017089844
4,EntB,IHDP,4,0.10632133483886719,Done,147.03430989431564,0.03554675565920638,0.03582870959306581,0.25472307205200195
5,EntB,IHDP,5,0.07665038108825684,Done,142.3269707961171,0.018308262255149282,0.018376512491957375,0.22513532638549805
6,EntB,IHDP,6,0.07416844367980957,Done,141.50307116867637,0.05935439865046915,0.08018231854027572,0.21953511238098145
7,EntB,IHDP,7,0.21837639808654785,Done,144.5201414126603,0.04887675473892876,0.05981200091095475,0.3844153881072998
8,EntB,IHDP,8,0.1157684326171875,Done,179.73967657235147,0.11983099138948768,0.18578637523053662,0.2692689895629883
9,EntB,IHDP,9,0.0754706859588623,Done,160.08712892274906,0.04946613155453789,0.049583296761284354,0.2658860683441162
10,EntB,IHDP,10,0.08897900581359863,Done,144.85279390828137,0.11468687774560973,0.11705441738508335,0.23632073402404785
11,EntB,IHDP,11,0.07839298248291016,Done,149.11707855177784,0.048285480367678005,0.0502657916890004,0.22999954223632812
12,EntB,IHDP,12,0.14176607131958008,Done,200.44003839974476,0.3486268232302898,0.3721265966385712,0.2935657501220703
13,EntB,IHDP,13,0.08232498168945312,Done,142.46023963768073,0.005547317854532433,0.006919280648535783,0.25127530097961426
14,EntB,IHDP,14,0.07274675369262695,Done,146.6165503364577,0.06125297384077687,0.12977185913523323,0.22579741477966309
15,EntB,IHDP,15,0.07676959037780762,Done,144.35258209534268,0.010257308365913305,0.02358840550283351,0.22647929191589355
16,EntB,IHDP,16,0.07329130172729492,Done,150.64171640230225,0.04761197984259954,0.0653511107791555,0.2261500358581543
17,EntB,IHDP,17,0.07240653038024902,Done,148.5714837992555,0.055991777252961054,0.07078215266260705,0.22523093223571777
18,EntB,IHDP,18,0.07452750205993652,Done,146.88477563005694,0.008060945169044311,0.018627443974159573,0.2288801670074463
19,EntB,IHDP,19,0.07735896110534668,Done,143.1343577041847,0.03213011372704563,0.037070460334611366,0.23083710670471191
