,method_key,dataset_key,kernel,lmb,seed,time1,status,checksum,bias
0,"KB (linear, lmb0.0001)",TBI,linear,0.0001,0,2.9551475048065186,Done,532.4831269951425,8.355500914307477
1,"KB (linear, lmb0.0001)",TBI,linear,0.0001,1,1.5515248775482178,Done,570.7453166612909,25.19150418649495
2,"KB (linear, lmb0.0001)",TBI,linear,0.0001,2,1.751403570175171,Done,548.2459943637932,22.970326923602173
3,"KB (linear, lmb0.0001)",TBI,linear,0.0001,3,1.5625402927398682,Done,539.7955421809701,6.010427672202006
4,"KB (linear, lmb0.0001)",TBI,linear,0.0001,4,1.7074599266052246,Done,541.0246760693028,20.62649195643747
5,"KB (linear, lmb0.0001)",TBI,linear,0.0001,5,1.276521921157837,Done,551.2400519076513,40.44956682684115
6,"KB (linear, lmb0.0001)",TBI,linear,0.0001,6,1.3120238780975342,Done,534.0316607704995,38.10946252467829
7,"KB (linear, lmb0.0001)",TBI,linear,0.0001,7,1.2073259353637695,Done,546.557702421105,43.29142589529346
8,"KB (linear, lmb0.0001)",TBI,linear,0.0001,8,1.2548277378082275,Done,547.99331141975,37.10303282787652
9,"KB (linear, lmb0.0001)",TBI,linear,0.0001,9,1.254856824874878,Done,501.95505204760775,44.69852137189917
10,"KB (linear, lmb0.0001)",TBI,linear,0.0001,10,1.5224196910858154,Done,551.8102610651991,50.540359256973154
11,"KB (linear, lmb0.0001)",TBI,linear,0.0001,11,1.1298558712005615,Done,533.5012463600231,20.916038129364985
12,"KB (linear, lmb0.0001)",TBI,linear,0.0001,12,1.391380786895752,Done,552.4854894826462,51.6830516740728
13,"KB (linear, lmb0.0001)",TBI,linear,0.0001,13,1.4794316291809082,Done,564.358136118151,2.39476164575256
14,"KB (linear, lmb0.0001)",TBI,linear,0.0001,14,1.2186028957366943,Done,536.7578888220236,3.4714175296927863
15,"KB (linear, lmb0.0001)",TBI,linear,0.0001,15,1.8246147632598877,Done,547.8635378688396,25.824937876271015
16,"KB (linear, lmb0.0001)",TBI,linear,0.0001,16,1.5760207176208496,Done,535.9921035019719,44.496301640043825
17,"KB (linear, lmb0.0001)",TBI,linear,0.0001,17,1.547931432723999,Done,525.5849233865646,51.30757593041937
18,"KB (linear, lmb0.0001)",TBI,linear,0.0001,18,1.613023281097412,Done,534.102246826059,8.23630287640733
