,method_key,dataset_key,algorithm,model,seed,time1,status,checksum,bias
44,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,44,0.3568446636199951,Done,542.484559803416,1.2708922885650011
45,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,45,0.35886597633361816,Done,564.3581568592143,0.9029671653445703
46,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,46,0.30823802947998047,Done,562.2773478552928,2.129772006175756
47,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,47,0.3521273136138916,Done,538.5627960013469,0.5238673506418152
48,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,48,0.34639811515808105,Done,567.3499539934564,7.837023475571691
49,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,49,0.35634660720825195,Done,541.1364569130644,2.1780937369015447
50,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,50,0.35503220558166504,Done,531.3946126894904,1.117380828262327
51,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,51,0.3516383171081543,Done,520.4651060643486,3.889881642894842
52,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,52,0.2973034381866455,Done,510.5599287862907,3.9176941516576207
53,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,53,0.3165712356567383,Done,547.6908403658535,1.9786232859343968
54,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,54,0.3527376651763916,Done,527.618894931223,4.600601229611243
55,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,55,0.3439960479736328,Done,537.030293969389,0.12072339642351437
56,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,56,0.32622480392456055,Done,521.5293988715715,1.8444618345368653
57,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,57,0.2987973690032959,Done,531.8339081747165,1.113024971364915
58,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,58,0.3296360969543457,Done,514.3193194777742,7.116672968239932
59,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,59,0.30991554260253906,Done,530.4033116115369,0.17014843614192188
60,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,60,0.3514711856842041,Done,512.2433436869746,2.9939170787423706
61,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,61,0.35220885276794434,Done,552.4243624203157,3.1640893834085944
62,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,62,0.31302738189697266,Done,556.2244585299829,3.264034791010104
63,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,63,0.3314182758331299,Done,542.2374315123432,1.9534134456018606
64,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,64,0.2924916744232178,Done,532.8767564918667,1.3634680568473883
65,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,65,0.3062903881072998,Done,536.9374509657249,0.9219408255501094
66,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,66,0.3602304458618164,Done,524.4152912160187,1.4535371054462445
67,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,67,0.3607959747314453,Done,508.7683522465328,3.7168835852465847
68,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,68,0.3153831958770752,Done,537.5649859294163,2.172900655251105
69,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,69,0.3073852062225342,Done,545.1165637370871,0.21114155886063202
70,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,70,0.3438405990600586,Done,531.7112467246963,1.984196415682021
71,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,71,0.35430383682250977,Done,542.855537073914,0.18041945517378366
72,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,72,0.35953426361083984,Done,548.7245256587896,0.8080547357610399
73,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,73,0.36158013343811035,Done,534.0279963200497,0.3779427492918117
74,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,74,0.32024455070495605,Done,536.6366316007765,2.2561763875494165
75,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,75,0.29316282272338867,Done,533.8556060503024,2.034043801237978
76,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,76,0.2937281131744385,Done,537.5810292923671,4.688583101916265
77,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,77,0.3080744743347168,Done,521.22629702625,3.263816384468157
78,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,78,0.2930614948272705,Done,551.219910008983,1.6871228755269456
79,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,79,0.29520702362060547,Done,555.9024170608391,1.801782309953552
80,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,80,0.29450392723083496,Done,526.5678037747404,1.2797053641766354
81,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,81,0.3165862560272217,Done,520.3901767578634,0.41680305834662335
82,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,82,0.3062171936035156,Done,540.1859890036134,1.4566067864022187
83,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,83,0.3125467300415039,Done,536.2351306786668,3.9452882491531014
84,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,84,0.3259882926940918,Done,564.1786357649279,0.4815775380267482
85,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,85,0.3537333011627197,Done,538.1435451598833,0.4956552520075945
86,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,86,0.360626220703125,Done,549.7746733291076,0.45169230593628384
87,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,87,0.36006641387939453,Done,516.8490128610503,6.40648535371087
88,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,88,0.31693387031555176,Done,533.6334394136148,0.13582150938481163
89,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,89,0.29813694953918457,Done,561.2616937361184,0.7111154642554993
90,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,90,0.30351901054382324,Done,534.5166003290063,6.516471933708829
91,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,91,0.2938237190246582,Done,544.2298162978145,1.8469215577861462
92,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,92,0.2955434322357178,Done,545.2954554950422,1.825749100676589
93,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,93,0.31547093391418457,Done,519.4350589329063,4.057074232503361
94,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,94,0.3533964157104492,Done,511.4245445288195,0.32417465825887604
95,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,95,0.3571803569793701,Done,543.1033632237538,0.3433400821133503
96,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,96,0.35738277435302734,Done,525.3227069120401,2.712438624084143
97,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,97,0.31984424591064453,Done,546.5565501662473,1.0415389025779263
98,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,98,0.2976720333099365,Done,548.3489700979444,0.09322096706187466
99,"IPW ('density_ratio', 'GradientBoostingClassifier')",TBI,density_ratio,GradientBoostingClassifier,99,0.3219919204711914,Done,539.0954755383044,1.865297786459621
