,method_key,dataset_key,compression_kwargs,balancing_kwargs,seed,time1,status,checksum,bias
0,"PCA+KB (energy, lmb0.0001) (k10)",TBI,{'k': 10},"{'kernel': 'energy', 'lmb': 0.0001}",0,2.052612781524658,Done,532.4831269951425,8.52941118763733
1,"PCA+KB (energy, lmb0.0001) (k10)",TBI,{'k': 10},"{'kernel': 'energy', 'lmb': 0.0001}",1,1.653613805770874,Done,570.7453166612909,8.631384811185278
2,"PCA+KB (energy, lmb0.0001) (k10)",TBI,{'k': 10},"{'kernel': 'energy', 'lmb': 0.0001}",2,1.697852373123169,Done,548.2459943637932,20.434225610750474
3,"PCA+KB (energy, lmb0.0001) (k10)",TBI,{'k': 10},"{'kernel': 'energy', 'lmb': 0.0001}",3,1.5654025077819824,Done,539.7955421809701,12.539300744613776
4,"PCA+KB (energy, lmb0.0001) (k10)",TBI,{'k': 10},"{'kernel': 'energy', 'lmb': 0.0001}",4,1.8819220066070557,Done,541.0246760693028,26.039456630680935
5,"PCA+KB (energy, lmb0.0001) (k10)",TBI,{'k': 10},"{'kernel': 'energy', 'lmb': 0.0001}",5,1.3879849910736084,Done,551.2400519076513,22.45849051253324
6,"PCA+KB (energy, lmb0.0001) (k10)",TBI,{'k': 10},"{'kernel': 'energy', 'lmb': 0.0001}",6,1.3605670928955078,Done,534.0316607704995,15.529644261844162
7,"PCA+KB (energy, lmb0.0001) (k10)",TBI,{'k': 10},"{'kernel': 'energy', 'lmb': 0.0001}",7,1.8170294761657715,Done,546.557702421105,1.0460906962831018
8,"PCA+KB (energy, lmb0.0001) (k10)",TBI,{'k': 10},"{'kernel': 'energy', 'lmb': 0.0001}",8,2.075943946838379,Done,547.99331141975,28.749268628293947
9,"PCA+KB (energy, lmb0.0001) (k10)",TBI,{'k': 10},"{'kernel': 'energy', 'lmb': 0.0001}",9,1.6422250270843506,Done,501.95505204760775,12.87425041425982
10,"PCA+KB (energy, lmb0.0001) (k10)",TBI,{'k': 10},"{'kernel': 'energy', 'lmb': 0.0001}",10,2.048983097076416,Done,551.8102610651991,0.22280634350473605
11,"PCA+KB (energy, lmb0.0001) (k10)",TBI,{'k': 10},"{'kernel': 'energy', 'lmb': 0.0001}",11,1.4776263236999512,Done,533.5012463600231,14.99491303539645
12,"PCA+KB (energy, lmb0.0001) (k10)",TBI,{'k': 10},"{'kernel': 'energy', 'lmb': 0.0001}",12,1.8741014003753662,Done,552.4854894826462,2.04466343196961
13,"PCA+KB (energy, lmb0.0001) (k10)",TBI,{'k': 10},"{'kernel': 'energy', 'lmb': 0.0001}",13,1.9328217506408691,Done,564.358136118151,12.45950989017264
14,"PCA+KB (energy, lmb0.0001) (k10)",TBI,{'k': 10},"{'kernel': 'energy', 'lmb': 0.0001}",14,1.7709174156188965,Done,536.7578888220236,16.298262923128547
15,"PCA+KB (energy, lmb0.0001) (k10)",TBI,{'k': 10},"{'kernel': 'energy', 'lmb': 0.0001}",15,1.4464898109436035,Done,547.8635378688396,4.611479467053819
16,"PCA+KB (energy, lmb0.0001) (k10)",TBI,{'k': 10},"{'kernel': 'energy', 'lmb': 0.0001}",16,1.6675806045532227,Done,535.9921035019719,10.678569779840032
17,"PCA+KB (energy, lmb0.0001) (k10)",TBI,{'k': 10},"{'kernel': 'energy', 'lmb': 0.0001}",17,1.4887003898620605,Done,525.5849233865646,7.243929468353578
18,"PCA+KB (energy, lmb0.0001) (k10)",TBI,{'k': 10},"{'kernel': 'energy', 'lmb': 0.0001}",18,2.0403876304626465,Done,534.102246826059,17.40238771893364
19,"PCA+KB (energy, lmb0.0001) (k10)",TBI,{'k': 10},"{'kernel': 'energy', 'lmb': 0.0001}",19,1.2983040809631348,Done,539.8189864526507,0.27943804549787643
20,"PCA+KB (energy, lmb0.0001) (k10)",TBI,{'k': 10},"{'kernel': 'energy', 'lmb': 0.0001}",20,1.9251255989074707,Done,548.8138960125209,0.666519771442573
21,"PCA+KB (energy, lmb0.0001) (k10)",TBI,{'k': 10},"{'kernel': 'energy', 'lmb': 0.0001}",21,1.8431429862976074,Done,548.6413151006914,11.362533535490428
22,"PCA+KB (energy, lmb0.0001) (k10)",TBI,{'k': 10},"{'kernel': 'energy', 'lmb': 0.0001}",22,1.6439695358276367,Done,558.3620288621934,9.796066478265267
23,"PCA+KB (energy, lmb0.0001) (k10)",TBI,{'k': 10},"{'kernel': 'energy', 'lmb': 0.0001}",23,1.3092973232269287,Done,546.416117633197,3.4487821182172382
24,"PCA+KB (energy, lmb0.0001) (k10)",TBI,{'k': 10},"{'kernel': 'energy', 'lmb': 0.0001}",24,1.4346327781677246,Done,537.934772269711,1.0240176632700937
25,"PCA+KB (energy, lmb0.0001) (k10)",TBI,{'k': 10},"{'kernel': 'energy', 'lmb': 0.0001}",25,1.624917984008789,Done,532.8373012180581,9.183201617983627
26,"PCA+KB (energy, lmb0.0001) (k10)",TBI,{'k': 10},"{'kernel': 'energy', 'lmb': 0.0001}",26,1.5087401866912842,Done,512.8123133108263,4.287186055473079
27,"PCA+KB (energy, lmb0.0001) (k10)",TBI,{'k': 10},"{'kernel': 'energy', 'lmb': 0.0001}",27,1.7203004360198975,Done,502.09680421729547,5.521150258487893
28,"PCA+KB (energy, lmb0.0001) (k10)",TBI,{'k': 10},"{'kernel': 'energy', 'lmb': 0.0001}",28,1.928776502609253,Done,508.8049831814471,10.493781803685877
29,"PCA+KB (energy, lmb0.0001) (k10)",TBI,{'k': 10},"{'kernel': 'energy', 'lmb': 0.0001}",29,1.437601089477539,Done,540.1761805935183,2.099608305538297
